Wall time,Step,Value
1741769164.173246,0,0.8425540328025818
1741770459.750646,1,0.3500721752643585
1741771786.72001,2,0.2528110146522522
1741773127.4780521,3,0.1921558976173401
1741774547.041871,4,0.1515481173992157
1741775876.026601,5,0.1197521835565567
1741777218.02356,6,0.09837312251329422
1741778574.102056,7,0.08123671263456345
1741779932.715461,8,0.06894639134407043
1741781035.6916978,9,0.05886609107255936
1741782237.173589,10,0.05131054297089577
1741783315.756372,11,0.04394053295254707
1741784414.55146,12,0.03946629911661148
1741785490.961285,13,0.03589658439159393
1741786574.935173,14,0.03195776417851448
1741787670.292712,15,0.03128095343708992
1741788851.3470762,16,0.026774806901812553
1741789916.523065,17,0.025679443031549454
1741790991.6995032,18,0.02392907440662384
1741792075.240729,19,0.023112470284104347
1741793155.2068632,20,0.021885015070438385
1741794241.348418,21,0.02081429213285446
1741795445.805532,22,0.01827133074402809
1741796495.56833,23,0.019774677231907845
1741797532.427068,24,0.016512906178832054
